id,name,description
bertholdgerlach2011,"Berthold, Falko and Linda Gerlach 2011",Documentation of ǂHȍã with a focus on contact influence
branch1998,"Branch, Bill 1998",Field Guide to Snakes and Other Reptiles of Southern Africa
burke2007,"Burke, Antje 2007",Wild flowers of the Central Highlands
carruthers2000,"Carruthers, Vincent 2000",The Wildlife of Southern Africa
cunningham,"Cunningham, Peter 2009",A Guide to the Tortoises of Namibia
dickens1986,"Dickens, Patrick 1986",Qhalaxarzi Phonology
dickens1994,"Dickens, Patrick 1994",English - Juǀ'hoan Juǀ'hoan - English Dictionary
duplessis2005,"du Plessis, Madaleine 2005",Afrikaans-Engels English-Afrikaans Woordeboek - Dictionary
eksteen1997,"Eksteen, L.C. 1997",Major dictionary Afrikaans-English English-Afrikaans
guldemannnaumann2011,"Güldemann, Tom and Christfried Naumann 2011",Inheritance and contact in a language complex: the case of Taa varieties (Tuu family)
haackeeiseb2002,"Haacke, Wilfrid H.G. and Eliphas Eiseb 2002",A Khoekhoegowab Dictionary
kgalagaditransfrontierpark2003,None 2003 (2008),Kgalagadi Transfrontier Park - Official Information Guide
kilianhatz2003,"Kilian-Hatz, Christa 2003",Khwe Dictionary
konigheine2008,"König, Christa and Bernd Heine 2008",A Concise Dictionary of Northwestern ǃXun
leeming2003,"Leeming, Jonathan 2003",Scorpions of Southern Africa
leffers2003,"Leffers, Arno 2003",Gemsbok bean & Kalahari truffle - Traditional plant use by Juǀ'hoansi in North-Eastern Namibia
picker2002,"Picker, Mike, Charles Griffiths and Alan Weaving 2002",Field Guide to Insects of South Africa
sandsetal2006,"Sands, Bonny, Amanda Miller, Johanna Brugman, Levi Namaseb, Christopher Collins and Mats Exter 2006",1400 item N|uu Dictionary
sinclair1994,"Sinclair, Ian 1994",Field Guide to the Birds of Southern Africa
sinclair2003,"Sinclair, Ian and Peter Ryan 2003",A comprehensive illustrated field guide - Birds of Africa south of the Sahara
snymaned1990,"Snyman, J.W. 1990",Setswana English Afrikaans Dictionary
stuartstuart2007,"Stuart, Chris and Tilde Stuart 2007",Field Guide to Mammals of Southern Africa
traill1994,"Traill, Anthony 1994",A ǃXóõ Dictionary
vanderwalt1999,"Van der Walt, Pieter, Elias le Riche 1999",The Kalahari and its plants
vanrooyen2001,"Van Rooyen, Noel, Hugo Bezuidenhout, Emmerentia de Kock 2001",Flowering plants of the Kalahari dunes
visser2001,"Visser, Hessel 2001",Naro Dictionary
